node_id,status,pano_id,pano_date,pano_lat,pano_lon,month,year,usable,osm_name,typology
n00000,OK,BhSC6bJZ99-S_S-iRINXEA,2026-04,40.74378944434279,-73.97351773055723,4,2026,True,1st Avenue,avenue
n00001,OK,qLUKfUvLlqeQHP193CSJsA,2026-04,40.74392921384442,-73.97341155109069,4,2026,True,1st Avenue,avenue
n00002,OK,o4zVk5-dOq8VAex4qQjaqQ,2026-04,40.74408806526631,-73.9732969417697,4,2026,True,1st Avenue,avenue
n00003,OK,HHoOF74VlmR2Tu8o2ZaXUQ,2026-04,40.74425308753975,-73.97317695165628,4,2026,True,1st Avenue,avenue
n00004,OK,H_xwQYvEfN0yT7xJFjp4zA,2026-04,40.744414205726,-73.9730592034379,4,2026,True,1st Avenue,avenue
n00005,OK,G-mz4uYycrAWs2Tw8-R0NQ,2026-04,40.74459484734376,-73.9729276446045,4,2026,True,1st Avenue,avenue
n00006,OK,pqE06iRnA9tEPem8tTvEcw,2026-04,40.74475709484945,-73.9728098962336,4,2026,True,1st Avenue,avenue
n00007,OK,_7QhHE6Fa-rnwiMRz0z4SQ,2026-04,40.74491737192536,-73.97269367233304,4,2026,True,1st Avenue,avenue
n00008,OK,gKrj4Wz_EJ34R_al03keDw,2026-04,40.74508574052443,-73.97257126051007,4,2026,True,1st Avenue,avenue
n00009,OK,M6Yc0_9J8Cmbih4gfhsmAg,2026-04,40.74524330218635,-73.97245503646543,4,2026,True,1st Avenue,avenue
n00010,OK,vLnL67joZw_TpvjJcfGwlw,2026-04,40.74540435124663,-73.97233630133503,4,2026,True,1st Avenue,avenue
n00011,OK,a00QIdd_B7_Y9UJmaHE5-w,2026-04,40.74548439875069,-73.972277292459,4,2026,True,1st Avenue,avenue
n00012,OK,O7UGZSBl-_462hHoSi-1zg,2026-04,40.74564350254781,-73.97216026112399,4,2026,True,1st Avenue,avenue
n00013,OK,eAoDIGgpoOMk-jmsA9BJ2Q,2026-04,40.74581046300579,-73.97203910447158,4,2026,True,1st Avenue,avenue
n00014,OK,PYY9VBd0E9ETwil1qyoaiA,2026-04,40.7459780215945,-73.97191579543913,4,2026,True,1st Avenue,avenue
n00015,OK,-FOmmEIaWWD3ZzuWiJdvgg,2026-04,40.74614535009326,-73.97179087209882,4,2026,True,1st Avenue,avenue
n00016,OK,LeMyijIQx_rKZZLO8HRNBw,2026-04,40.74630140046403,-73.9716751856597,4,2026,True,1st Avenue,avenue
n00017,OK,XPmqzPGG9YcEIxXeQOWOPw,2026-04,40.74646551448718,-73.97155205575316,4,2026,True,1st Avenue,avenue
n00018,OK,7wd90eT_SuMVnXM5-cP8iA,2026-04,40.74662983054518,-73.97142982256341,4,2026,True,1st Avenue,avenue
n00019,OK,Rs2vs6n-RAyu-jJ47KEYXQ,2026-04,40.74680864224306,-73.97130615442232,4,2026,True,1st Avenue,avenue
n00020,OK,Xro_CQMmdwj3em3ijnvFCQ,2026-04,40.74751652885244,-73.97082340848195,4,2026,True,1st Avenue,avenue
n00021,OK,Iur9Kh4W8fims5RMYmCXBA,2026-04,40.74994151442514,-73.97212914243521,4,2026,True,2nd Avenue,avenue
n00022,OK,2ZEhBd_jQ8-9ee6Y9E_-oA,2026-04,40.74978432881142,-73.97224366277233,4,2026,True,2nd Avenue,avenue
n00023,OK,laBJSJKjDXQAUF8Xsr_EPg,2026-04,40.74962374495174,-73.97236185988515,4,2026,True,2nd Avenue,avenue
n00024,OK,Kc_F6NvhdIO7Wp4yE6K5qw,2026-04,40.74946017792585,-73.97248400280411,4,2026,True,2nd Avenue,avenue
n00025,OK,GbRisdEAIcVddIqJhdIL1g,2026-04,40.74928951458089,-73.97260767018861,4,2026,True,2nd Avenue,avenue
n00026,OK,rXwZ421_XNjkQ51qCYUMnQ,2026-04,40.74912454566939,-73.97272685354639,4,2026,True,2nd Avenue,avenue
n00027,OK,8c8zvpHziPnCJRBs2YlodQ,2026-04,40.74896721744859,-73.97284092513345,4,2026,True,2nd Avenue,avenue
n00028,OK,X3mb0hGnGDoKJWnmp3mO2A,2026-04,40.74880123202887,-73.97296145352936,4,2026,True,2nd Avenue,avenue
n00029,OK,_vqbJVhC3pk-i1SOtfHSQQ,2026-04,40.74863984547497,-73.97307615272891,4,2026,True,2nd Avenue,avenue
n00030,OK,RTXH8P9QVgiOdtWzayxu7A,2026-04,40.74848553489161,-73.97318600920856,4,2026,True,2nd Avenue,avenue
n00031,OK,Y4IGkaDOkxrHskcVK8afsg,2026-04,40.74836905663118,-73.97327138334374,4,2026,True,2nd Avenue,avenue
n00032,OK,7vcZV02P3a7LEog8fTHw5g,2026-04,40.74821320946748,-73.97338635139451,4,2026,True,2nd Avenue,avenue
n00033,OK,dApUMUTGGwaYzW7_t8jB9g,2026-04,40.74805210475641,-73.9735051755558,4,2026,True,2nd Avenue,avenue
n00034,OK,fKjZXKYCSzwSdxYr07GU4w,2026-04,40.74789348181063,-73.97362130928782,4,2026,True,2nd Avenue,avenue
n00035,OK,Zc8h5Pe286fBE41JKTGvnw,2026-04,40.74772194473796,-73.97374524497707,4,2026,True,2nd Avenue,avenue
n00036,OK,UB_SUEJd7Pnjk-eCcPgsqw,2026-04,40.74756062338469,-73.97386362052468,4,2026,True,2nd Avenue,avenue
n00037,OK,0Ue-5JA46cx5iCH81iZFXw,2026-04,40.74740111497805,-73.97397778111642,4,2026,True,2nd Avenue,avenue
n00038,OK,kpJNE28mlEKvJ3ygH0rziQ,2026-04,40.74723482947082,-73.97409624619931,4,2026,True,2nd Avenue,avenue
n00039,OK,LIrGl8T3I2TWb2fXC0TdCw,2026-04,40.74707538749897,-73.97421300732246,4,2026,True,2nd Avenue,avenue
n00040,OK,da-0YBoiTofQXjeCOEZAQg,2026-04,40.74691017904992,-73.97433694263066,4,2026,True,2nd Avenue,avenue
n00041,OK,wI2dX4wQlDfoakDsx130Fw,2026-04,40.74677090369843,-73.97444177641444,4,2026,True,2nd Avenue,avenue
n00042,OK,K6R2MFRna1qBd7MfsqTvug,2026-04,40.74661738250911,-73.97455459149177,4,2026,True,2nd Avenue,avenue
n00043,OK,XMJwfFoQSAPE2gfDpzteqA,2026-04,40.74642718026909,-73.97461933906591,4,2026,True,2nd Avenue,avenue
n00044,OK,fEySYt3Q5Oy8Mj6UNNMPNQ,2026-04,40.74629362257849,-73.97479734994343,4,2026,True,2nd Avenue,avenue
n00045,OK,1z2kq5H5uVfde2zZu8C33A,2026-04,40.7461361107267,-73.97492029841811,4,2026,True,2nd Avenue,avenue
n00046,OK,SvlPDBFedME2goosvSimKA,2026-04,40.74596154365739,-73.97504100486753,4,2026,True,2nd Avenue,avenue
n00047,OK,VSnuL76akuo2j0bInfh5SA,2026-04,40.74580217388166,-73.9751524744263,4,2026,True,2nd Avenue,avenue
n00048,OK,If_0BlTUmx-0Q3Hhudx2_Q,2026-04,40.74563731075568,-73.97526295746506,4,2026,True,2nd Avenue,avenue
n00049,OK,COilykflfao--d0m9ZedHA,2026-04,40.74555881789599,-73.97531488088427,4,2026,True,2nd Avenue,avenue
n00050,OK,mm3YOyP84Cmi_jqsFF8otA,2026-04,40.74539234497294,-73.97544482388749,4,2026,True,2nd Avenue,avenue
n00051,OK,QBPvoGWNoTk0-DRP0LvcSQ,2026-04,40.74521588480113,-73.97557611196723,4,2026,True,2nd Avenue,avenue
n00052,OK,APy9rO2Xo6thve3FjH0gIA,2026-04,40.74505669936984,-73.97569367929049,4,2026,True,2nd Avenue,avenue
n00053,OK,nDxPB565qw8qXGsjS4xKVw,2026-04,40.74490315922615,-73.97580694202136,4,2026,True,2nd Avenue,avenue
n00054,OK,JRfca0prQB4nWzxEy4qpaA,2026-04,40.7456367475427,-73.97819252840051,4,2026,True,3rd Avenue,avenue
n00055,OK,6_7H4KCQWq3DszNdqDrYXg,2026-04,40.74579812484885,-73.97807657678077,4,2026,True,3rd Avenue,avenue
